bank_name,bank_type,financial_year,total_assets_cr,deposits_cr,advances_cr,net_profit_cr,gross_npa_pct,roa_pct,nim_pct,casa_pct
HDFC Bank,Private,FY20,,,,,,,,
HDFC Bank,Private,FY21,,,,,,,,
HDFC Bank,Private,FY22,,,,,,,,
HDFC Bank,Private,FY23,,,,,,,,
HDFC Bank,Private,FY24,,,,,,,,
HDFC Bank,Private,FY25,,,,,,,,
ICICI Bank,Private,FY20,,,,,,,,
ICICI Bank,Private,FY21,,,,,,,,
ICICI Bank,Private,FY22,,,,,,,,
ICICI Bank,Private,FY23,,,,,,,,
ICICI Bank,Private,FY24,,,,,,,,
ICICI Bank,Private,FY25,,,,,,,,
Axis Bank,Private,FY20,,,,,,,,
Axis Bank,Private,FY21,,,,,,,,
Axis Bank,Private,FY22,,,,,,,,
Axis Bank,Private,FY23,,,,,,,,
Axis Bank,Private,FY24,,,,,,,,
Axis Bank,Private,FY25,,,,,,,,
SBI,PSU,FY20,,,,,,,,
SBI,PSU,FY21,,,,,,,,
SBI,PSU,FY22,,,,,,,,
SBI,PSU,FY23,,,,,,,,
SBI,PSU,FY24,,,,,,,,
SBI,PSU,FY25,,,,,,,,
PNB,PSU,FY20,,,,,,,,
PNB,PSU,FY21,,,,,,,,
PNB,PSU,FY22,,,,,,,,
PNB,PSU,FY23,,,,,,,,
PNB,PSU,FY24,,,,,,,,
PNB,PSU,FY25,,,,,,,,
Bank of Baroda,PSU,FY20,,,,,,,,
Bank of Baroda,PSU,FY21,,,,,,,,
Bank of Baroda,PSU,FY22,,,,,,,,
Bank of Baroda,PSU,FY23,,,,,,,,
Bank of Baroda,PSU,FY24,,,,,,,,
Bank of Baroda,PSU,FY25,,,,,,,,
