bank_name,bank_type,financial_year,fy_year_num,metric,value,metric_label
HDFC Bank,Private,FY20,2020,total_assets_cr,1530511.0,Total Assets (Cr)
HDFC Bank,Private,FY21,2021,total_assets_cr,1746870.0,Total Assets (Cr)
HDFC Bank,Private,FY22,2022,total_assets_cr,2068535.0,Total Assets (Cr)
HDFC Bank,Private,FY23,2023,total_assets_cr,2466081.0,Total Assets (Cr)
HDFC Bank,Private,FY24,2024,total_assets_cr,4030190.0,Total Assets (Cr)
HDFC Bank,Private,FY25,2025,total_assets_cr,4392420.0,Total Assets (Cr)
ICICI Bank,Private,FY20,2020,total_assets_cr,1098365.0,Total Assets (Cr)
ICICI Bank,Private,FY21,2021,total_assets_cr,1230433.0,Total Assets (Cr)
ICICI Bank,Private,FY22,2022,total_assets_cr,1411297.0,Total Assets (Cr)
ICICI Bank,Private,FY23,2023,total_assets_cr,1584207.0,Total Assets (Cr)
ICICI Bank,Private,FY24,2024,total_assets_cr,1729021.0,Total Assets (Cr)
ICICI Bank,Private,FY25,2025,total_assets_cr,1918233.0,Total Assets (Cr)
Axis Bank,Private,FY20,2020,total_assets_cr,915166.0,Total Assets (Cr)
Axis Bank,Private,FY21,2021,total_assets_cr,996118.0,Total Assets (Cr)
Axis Bank,Private,FY22,2022,total_assets_cr,1175178.0,Total Assets (Cr)
Axis Bank,Private,FY23,2023,total_assets_cr,1317326.0,Total Assets (Cr)
Axis Bank,Private,FY24,2024,total_assets_cr,1477209.0,Total Assets (Cr)
Axis Bank,Private,FY25,2025,total_assets_cr,1610327.0,Total Assets (Cr)
SBI,PSU,FY20,2020,total_assets_cr,3951393.0,Total Assets (Cr)
SBI,PSU,FY21,2021,total_assets_cr,4534430.0,Total Assets (Cr)
SBI,PSU,FY22,2022,total_assets_cr,4987597.0,Total Assets (Cr)
SBI,PSU,FY23,2023,total_assets_cr,5516979.0,Total Assets (Cr)
SBI,PSU,FY24,2024,total_assets_cr,6165707.0,Total Assets (Cr)
SBI,PSU,FY25,2025,total_assets_cr,6606290.0,Total Assets (Cr)
PNB,PSU,FY20,2020,total_assets_cr,830657.0,Total Assets (Cr)
PNB,PSU,FY21,2021,total_assets_cr,1262283.0,Total Assets (Cr)
PNB,PSU,FY22,2022,total_assets_cr,1310643.0,Total Assets (Cr)
PNB,PSU,FY23,2023,total_assets_cr,1406018.0,Total Assets (Cr)
PNB,PSU,FY24,2024,total_assets_cr,1492894.0,Total Assets (Cr)
PNB,PSU,FY25,2025,total_assets_cr,1650000.0,Total Assets (Cr)
Bank of Baroda,PSU,FY20,2020,total_assets_cr,1157915.0,Total Assets (Cr)
Bank of Baroda,PSU,FY21,2021,total_assets_cr,1155365.0,Total Assets (Cr)
Bank of Baroda,PSU,FY22,2022,total_assets_cr,1277998.0,Total Assets (Cr)
Bank of Baroda,PSU,FY23,2023,total_assets_cr,1473828.0,Total Assets (Cr)
Bank of Baroda,PSU,FY24,2024,total_assets_cr,1565835.0,Total Assets (Cr)
Bank of Baroda,PSU,FY25,2025,total_assets_cr,1710000.0,Total Assets (Cr)
HDFC Bank,Private,FY20,2020,deposits_cr,1147502.0,Deposits (Cr)
HDFC Bank,Private,FY21,2021,deposits_cr,1335060.0,Deposits (Cr)
HDFC Bank,Private,FY22,2022,deposits_cr,1559217.0,Deposits (Cr)
HDFC Bank,Private,FY23,2023,deposits_cr,1883394.0,Deposits (Cr)
HDFC Bank,Private,FY24,2024,deposits_cr,2376888.0,Deposits (Cr)
HDFC Bank,Private,FY25,2025,deposits_cr,2710900.0,Deposits (Cr)
ICICI Bank,Private,FY20,2020,deposits_cr,770968.0,Deposits (Cr)
ICICI Bank,Private,FY21,2021,deposits_cr,932522.0,Deposits (Cr)
ICICI Bank,Private,FY22,2022,deposits_cr,1064571.0,Deposits (Cr)
ICICI Bank,Private,FY23,2023,deposits_cr,1180840.0,Deposits (Cr)
ICICI Bank,Private,FY24,2024,deposits_cr,1412825.0,Deposits (Cr)
ICICI Bank,Private,FY25,2025,deposits_cr,1610348.0,Deposits (Cr)
Axis Bank,Private,FY20,2020,deposits_cr,640105.0,Deposits (Cr)
Axis Bank,Private,FY21,2021,deposits_cr,707306.0,Deposits (Cr)
Axis Bank,Private,FY22,2022,deposits_cr,821721.0,Deposits (Cr)
Axis Bank,Private,FY23,2023,deposits_cr,946945.0,Deposits (Cr)
Axis Bank,Private,FY24,2024,deposits_cr,1068641.0,Deposits (Cr)
Axis Bank,Private,FY25,2025,deposits_cr,1172952.0,Deposits (Cr)
SBI,PSU,FY20,2020,deposits_cr,3241621.0,Deposits (Cr)
SBI,PSU,FY21,2021,deposits_cr,3681277.0,Deposits (Cr)
SBI,PSU,FY22,2022,deposits_cr,4051534.0,Deposits (Cr)
SBI,PSU,FY23,2023,deposits_cr,4423778.0,Deposits (Cr)
SBI,PSU,FY24,2024,deposits_cr,4916077.0,Deposits (Cr)
SBI,PSU,FY25,2025,deposits_cr,5382190.0,Deposits (Cr)
PNB,PSU,FY20,2020,deposits_cr,703846.0,Deposits (Cr)
PNB,PSU,FY21,2021,deposits_cr,1106332.0,Deposits (Cr)
PNB,PSU,FY22,2022,deposits_cr,1146219.0,Deposits (Cr)
PNB,PSU,FY23,2023,deposits_cr,1280815.0,Deposits (Cr)
PNB,PSU,FY24,2024,deposits_cr,1371800.0,Deposits (Cr)
PNB,PSU,FY25,2025,deposits_cr,1568000.0,Deposits (Cr)
Bank of Baroda,PSU,FY20,2020,deposits_cr,945985.0,Deposits (Cr)
Bank of Baroda,PSU,FY21,2021,deposits_cr,966997.0,Deposits (Cr)
Bank of Baroda,PSU,FY22,2022,deposits_cr,1045939.0,Deposits (Cr)
Bank of Baroda,PSU,FY23,2023,deposits_cr,1203688.0,Deposits (Cr)
Bank of Baroda,PSU,FY24,2024,deposits_cr,1326958.0,Deposits (Cr)
Bank of Baroda,PSU,FY25,2025,deposits_cr,1472000.0,Deposits (Cr)
HDFC Bank,Private,FY20,2020,advances_cr,993703.0,Advances (Cr)
HDFC Bank,Private,FY21,2021,advances_cr,1132837.0,Advances (Cr)
HDFC Bank,Private,FY22,2022,advances_cr,1368821.0,Advances (Cr)
HDFC Bank,Private,FY23,2023,advances_cr,1600586.0,Advances (Cr)
HDFC Bank,Private,FY24,2024,advances_cr,2571920.0,Advances (Cr)
HDFC Bank,Private,FY25,2025,advances_cr,2724940.0,Advances (Cr)
ICICI Bank,Private,FY20,2020,advances_cr,645289.0,Advances (Cr)
ICICI Bank,Private,FY21,2021,advances_cr,733729.0,Advances (Cr)
ICICI Bank,Private,FY22,2022,advances_cr,859020.0,Advances (Cr)
ICICI Bank,Private,FY23,2023,advances_cr,1019638.0,Advances (Cr)
ICICI Bank,Private,FY24,2024,advances_cr,1184406.0,Advances (Cr)
ICICI Bank,Private,FY25,2025,advances_cr,1341766.0,Advances (Cr)
Axis Bank,Private,FY20,2020,advances_cr,571424.0,Advances (Cr)
Axis Bank,Private,FY21,2021,advances_cr,623720.0,Advances (Cr)
Axis Bank,Private,FY22,2022,advances_cr,707696.0,Advances (Cr)
Axis Bank,Private,FY23,2023,advances_cr,845303.0,Advances (Cr)
Axis Bank,Private,FY24,2024,advances_cr,965068.0,Advances (Cr)
Axis Bank,Private,FY25,2025,advances_cr,1040810.0,Advances (Cr)
SBI,PSU,FY20,2020,advances_cr,2325290.0,Advances (Cr)
SBI,PSU,FY21,2021,advances_cr,2449498.0,Advances (Cr)
SBI,PSU,FY22,2022,advances_cr,2733966.0,Advances (Cr)
SBI,PSU,FY23,2023,advances_cr,3199269.0,Advances (Cr)
SBI,PSU,FY24,2024,advances_cr,3767535.0,Advances (Cr)
SBI,PSU,FY25,2025,advances_cr,4221000.0,Advances (Cr)
PNB,PSU,FY20,2020,advances_cr,471827.0,Advances (Cr)
PNB,PSU,FY21,2021,advances_cr,674230.0,Advances (Cr)
PNB,PSU,FY22,2022,advances_cr,728185.0,Advances (Cr)
PNB,PSU,FY23,2023,advances_cr,830153.0,Advances (Cr)
PNB,PSU,FY24,2024,advances_cr,934432.0,Advances (Cr)
PNB,PSU,FY25,2025,advances_cr,1116000.0,Advances (Cr)
Bank of Baroda,PSU,FY20,2020,advances_cr,690121.0,Advances (Cr)
Bank of Baroda,PSU,FY21,2021,advances_cr,706300.0,Advances (Cr)
Bank of Baroda,PSU,FY22,2022,advances_cr,777008.0,Advances (Cr)
Bank of Baroda,PSU,FY23,2023,advances_cr,940998.0,Advances (Cr)
Bank of Baroda,PSU,FY24,2024,advances_cr,1090608.0,Advances (Cr)
Bank of Baroda,PSU,FY25,2025,advances_cr,1230000.0,Advances (Cr)
