bank_name,bank_type,financial_year,total_assets_cr,deposits_cr,advances_cr,net_profit_cr,gross_npa_pct,roa_pct,nim_pct,casa_pct,fy_year_num
HDFC Bank,Private,FY20,1530511,1147502,993703,26257,1.26,1.89,4.2,42.2,2020
HDFC Bank,Private,FY21,1746870,1335060,1132837,31116,1.32,1.97,4.1,46.1,2021
HDFC Bank,Private,FY22,2068535,1559217,1368821,36961,1.17,2.03,4.0,48.2,2022
HDFC Bank,Private,FY23,2466081,1883394,1600586,44109,1.12,2.07,4.1,44.4,2023
HDFC Bank,Private,FY24,4030190,2376888,2571920,64062,1.24,1.59,3.6,38.2,2024
HDFC Bank,Private,FY25,4392420,2710900,2724940,70792,1.33,1.61,3.9,34.9,2025
ICICI Bank,Private,FY20,1098365,770968,645289,7931,5.53,0.81,3.73,45.1,2020
ICICI Bank,Private,FY21,1230433,932522,733729,16193,4.96,1.42,3.69,46.3,2021
ICICI Bank,Private,FY22,1411297,1064571,859020,23339,3.6,1.84,3.96,48.9,2022
ICICI Bank,Private,FY23,1584207,1180840,1019638,31896,2.81,2.13,4.48,45.8,2023
ICICI Bank,Private,FY24,1729021,1412825,1184406,40888,2.3,2.37,4.1,42.0,2024
ICICI Bank,Private,FY25,1918233,1610348,1341766,47227,1.7,2.46,4.4,38.4,2025
Axis Bank,Private,FY20,915166,640105,571424,1627,4.86,0.2,3.51,41.2,2020
Axis Bank,Private,FY21,996118,707306,623720,6588,3.7,0.7,3.53,45.0,2021
Axis Bank,Private,FY22,1175178,821721,707696,13025,2.82,1.21,3.47,45.0,2022
Axis Bank,Private,FY23,1317326,946945,845303,9580,2.02,0.81,4.02,47.0,2023
Axis Bank,Private,FY24,1477209,1068641,965068,26386,1.5,1.83,3.9,42.0,2024
Axis Bank,Private,FY25,1610327,1172952,1040810,28055,1.3,1.88,3.98,41.0,2025
SBI,PSU,FY20,3951393,3241621,2325290,14488,6.15,0.38,3.19,45.2,2020
SBI,PSU,FY21,4534430,3681277,2449498,20410,4.98,0.48,3.11,46.1,2021
SBI,PSU,FY22,4987597,4051534,2733966,31676,3.97,0.67,3.12,45.3,2022
SBI,PSU,FY23,5516979,4423778,3199269,50232,2.78,0.96,3.37,43.8,2023
SBI,PSU,FY24,6165707,4916077,3767535,61077,2.24,1.04,3.28,41.1,2024
SBI,PSU,FY25,6606290,5382190,4221000,70901,1.82,1.1,3.09,39.97,2025
PNB,PSU,FY20,830657,703846,471827,336,14.21,0.04,2.59,43.0,2020
PNB,PSU,FY21,1262283,1106332,674230,2022,14.12,0.15,3.07,45.5,2021
PNB,PSU,FY22,1310643,1146219,728185,3457,11.78,0.26,2.71,47.4,2022
PNB,PSU,FY23,1406018,1280815,830153,2507,8.74,0.18,3.06,43.0,2023
PNB,PSU,FY24,1492894,1371800,934432,8245,5.73,0.55,3.09,41.1,2024
PNB,PSU,FY25,1650000,1568000,1116000,16630,3.95,1.0,2.93,38.8,2025
Bank of Baroda,PSU,FY20,1157915,945985,690121,546,9.4,0.06,2.61,38.8,2020
Bank of Baroda,PSU,FY21,1155365,966997,706300,828,8.87,0.07,2.81,41.9,2021
Bank of Baroda,PSU,FY22,1277998,1045939,777008,7272,6.61,0.6,3.03,42.1,2022
Bank of Baroda,PSU,FY23,1473828,1203688,940998,14110,3.79,1.03,3.31,40.3,2023
Bank of Baroda,PSU,FY24,1565835,1326958,1090608,17789,2.92,1.17,3.27,39.8,2024
Bank of Baroda,PSU,FY25,1710000,1472000,1230000,20716,2.26,1.26,3.02,39.95,2025
